,text
1045,"

1. "
1046,"Lah yjibou 3la al-moussiba w ma3a l'amusement, ana mabsoota fi français!"
1047," 
2. "
1048,Ma yesh biyidhak shwaya 3alihom chocolat w kahwet marocain?
1049," 
3. "
1050,"Let's go to the party and have some fun, I'm feeling so French today!"
1051,
1052,"

1. "
1053,Oh Mon Dieu! أنا شعور كثير من التوتر لدى هذه المسائل الصعبة
1054,".
2. "
1055,"I can't believe it, إنها مشكلة واحدة لا يمكن حلها!"
1056,"
3. "
1057,"Je suis tellement fatigué, لقد ن"
1058,"

1. أنا مشغول كتابة المقال في البرنامج التعليمي على mon ordinateur, donc je n'ai pas le temps de sortir et de m'amuser. 

2. Je suis tellement fatigué après une longue journée d'études que je veux juste me déconnecter et écouter un peu de"
1059,"

1. "
1060,"Aya, tu sais que j'adore le shawarma شاورما mais je veux aussi essayer le falafel فلافل!"
1061,"

2. "
1062,Je viens d'acheter un nouveau téléphone et il est tellement cool! C'est une technologie moderne متطورة
1063," 

3. "
1064,Ça va? J'espère que tu as passé une bonne j
1065,"

1. يعيش المغاربة والفرنسيون معًا بالتوازي في مدنهم التي تحمل اسم "
1066,Paris
1067," وتعبر عن الحب والاختلاف.
2. Mon ami marocain aime à regarder des films français et écouter les chansons arabes"
1068,"

1. "
1069,"Lah ykoun m3a a7babiyat lmaghribi, ana 3andek sahbi,"
1070," said the Moroccan woman in French and Arabic. 

2. "
1071,"Ya salam, c'est quoi ton prénom?"
1072," asked the Algerian man in English and French. 

3. "
1073,"Marhaban, mon nom est Fatima!"
1074, replied the Tunisian woman in Arabic and French.
1075,"

1. "
1076,لا تخفي نفسك لن العالم متواضع وراء الحدود
1077," - Don't hide yourself, the world is humble beyond borders.

2. "
1078,Je suis très heureux d'être ici avec vous tous
1079, - أنا سعيد للغاية لأن يكون معك
1080,"

1. "
1081,مرحبا! كيف حالك؟ الآن أنا قادرة على التعلم لغة البرمجة Python en anglais.
1082,"

2. "
1083,Je suis tellement excité pour apprendre le français et l'arabe ! وهو مستوى متوسط لدي.
1084,"

3. "
1085,
1086,"

1. "
1087,Lah yemken ya3ni inshallah
1088, (Arabic) - 
1089,"Je vais essayer, Inshallah"
1090, (French) - 
1091,"I will try, Inshallah"
1092," (English). 

2. "
1093,Kif ma ndiro 3la chay7a?
1094, (Arabic) - 
1095,Qu'est-ce que tu as dit sur cette affaire?
1096, (French)- 
1097,What did you say about this matter?
1098," (English). 

3. "
1099,Ana bghit nch
1100,"

1. "
1101,"أنا بحاجة لمساعدتك, s'il vous plaît? I need your help."
1102,"
2. "
1103,هل يمكن أن je parle avec toi en anglais? Can I speak with you in English?
1104,"
3. "
1105,Je suis désolé ما لم أعرف الكلمات العربية! I'm sorry I don
1106,"

1. "
1107,"Yalla, on va aller à la plage cet été! Let's go to the beach this summer!"
1108,"
2. "
1109,"Awal marra wala ghadi, tu peux parler Arabe ou Français ici"
1110," - First time or not, you can speak Arabic or French here.
3. "
1111,J'adore écouter les chansons arabes et françaises - I love listening to Arabic and French songs.
1112,
1113,"

1. "
1114,وأنا سعيد لكن يالهي ماذا هو المشروع التالي
1115," - I'm happy but hey what's the next project? 

2. "
1116,ستبقى علينا لحساب المبالغ وهو مهم جدا
1117, - Nous devrons compter les sommes et c'est très important
1118,"

1. "
1119,أنا سعيدة لكن يبدو أنه مشكلة - Je suis heureuse mais il semble y avoir un problème.
1120,"

2. "
1121,المستوى الحالي من التراجع هو مخيف - La situation actuelle de la récession est effrayante.
1122,"

3. "
1123,هل يمك
1124,"

1. "
1125,"Je l'ai vu au marché, il avait une belle ثوب."
1126," 
2. "
1127,أنا بدأت التعلم الفرنسية قبل ما رح ياخذ الكورس
1128," 
3. "
1129,"Tu peux parler en anglais si tu veux, je comprends والله!"
1130,
1131,"

1. "
1132,"Ya salam, je suis fatigué de ces devoirs!"
1133,"
2. "
1134,"Dab3at 3alaykom, wana ma3loume anglaise?"
1135," 
3. "
1136,"Bonjour tout le monde, ana maftou7 bain soudi ou maroc!"
1137,
1138,"

1. "
1139,أنا متعب ولكن je suis toujours prêt à apprendre quelque chose de nouveau!
1140,"

2. "
1141,ماذا يقال en français pour 'good morning'? Bonjour!
1142,"

3. "
1143,"Je comprends العربية un peu, mais j'ai besoin de plus d'entraînement pour parler couramment."
1144,
1145,"

1. "
1146,"L'amour est aveugle, mais je ne peux pas dire la même chose de الحب !"
1147,"
2. "
1148,C'est على ما يرام pour moi d'aller à l'école et apprendre.
1149,"
3. "
1150,I can't believe we're going to the movies tonight - it's gonna be so much fun! وسوف نكون متعة جديدة!
1151,
1152,"

1. "
1153,"Salam alaykum! Je m'appelle Ahmed, et je suis un étudiant à l'université du Québec. J'ai besoin d'aide pour comprendre la programmation en anglais."
1154,"

2. "
1155,Bonjour! Mon ami et moi sommes en train de regarder un film Marocain intitulé 'Lalla Aicha'. C’est très divertissant!
1156,"

3. "
1157,As-sal
1158,"

1. "
1159,"I'm gonna go to the store and buy some حلويات البطاطا المقلية, des frites et un Coca Cola!"
1160," 

2. "
1161,My friend just sent me this amazing مرحبا كيف حالك video on WhatsApp.
1162," 

3. "
1163,"Let's all get together for a night out and have some fun, I'll bring my favorite بتشون و السندوت"
1164,"

1. "
1165,"Aywa ana 'arif 3al-français, mais bahibak al-inglizi!"
1166," (Yes, I know some French, but I love English!) 

2. "
1167,C'est une journée magnifique! إنها يوم رائع
1168," (It's a beautiful day!) 

3. "
1169,Je veux apprendre le arabe وأريد التعلم العربي
1170, (I
1171,"

1. "
1172,"Walaikum salam, je veux aller à l'école pour apprendre le français et l'anglais."
1173," 
2. "
1174,أنا بحاجة الى معلم يتحدث اللغتين فرنسي و إنكليز
1175," 
3. "
1176,"Hey, let's go to the café for some shawarma and a croissant!"
1177,
1178,"

1. "
1179,"I'm so متعب after working all day, I just want to نشل and relax!"
1180,"
2. "
1181,It's been a اليوم الصعب but I'm determined to finish this project before the آخر موعد.
1182," 
3. "
1183,Let's try something new for dinner tonight - how about we order some بيتزا from that Italian restaurant down the street?
1184,
1185,"

1. "
1186,"Safi ya3ni, je veux dire peace"
1187," 
2. "
1188,"Ya habibi ma biddi shufna English, French w Arabic!"
1189," 
3. "
1190,Wa7dak 3amri ana ba3ref 7alak francais inti arabi?
1191,"

1. "
1192,"C'est mon tasse de café préférée, j'adore le حلويات مصرية avec ça!"
1193," 
2. "
1194,Je vais aller à la mosquée القبلة ce soir et dire mes prières.
1195," 
3. "
1196,"J'ai besoin de trouver un bon livre pour apprendre l'arabe, mais je ne sais pas où en chercher un - peut-ê"
1197,"

1. "
1198,J'ai rencontré mon meilleur ami عند المطعم hier - We met my best friend at the restaurant yesterday!
1199," 

2. "
1200,Je ne peux pas croire que j'ai obtenu le travail! شكرا مرة للتوصيات - I can't believe I got the job! Thanks again for the recommendations!
1201,"

3. "
1202,J'adore apprendre à parler français
1203,"

1. "
1204,"ليس من الصعب أن نتكلم اللغة الإنجليزية, mais je préfère parler français pour être plus à l'aise"
1205,". 

2. "
1206,هاشتاق #الانجليزي_و_الفرنسي هو المفتاح لدراسة
1207,"

1. "
1208,"Alors, je veux regarder un film arabe et j'ai besoin de votre aide pour le trouver sur Netflix! Est-ce que vous savez où je peux le trouver?"
1209," 
2. "
1210,أنا بحاجة إلى العودة الى فرنسا ليلا وهذا متعب!
1211,"
3. "
1212,Je pense qu'il y a beaucoup d
1213,"

1. "
1214,أنا شاب من المغرب وسعيد لكن يوميا je suis très heureux!
1215,"
2. "
1216,"هل تتحدثون العربية والفرنسية? Oui, bien sur!"
1217," 
3. "
1218,"Je vous demande pardon s'il vous plaît, هل يمكنك"
1219,"

1. "
1220,"Ma soeur et moi allons au souk pour acheter du thé vert marocain, شاي أخضر من المغرب ! 

2. Mon papa m'a appris à dire bonjour en arabe: Marhaba! Et mon prof de français me dit Bonjour chaque jour. 

3. J'ai trouvé un livre intéressant sur la culture maghrébine,"
1221,"

1. "
1222,مرحبا بك في الدولة العربية! نتعلم الإنجليزية et la française ici.
1223,"

2. "
1224,"Je suis heureux de vous rencontrer, je parle un peu d'arabe aussi!"
1225," 

3. "
1226,Let's go out for coffee inshallah ونسوى prendre une tasse de café
1227,"

1. "
1228,إنه رائع! ما هو اسمك؟
1229,"
2. "
1230,"Je suis très heureux de te rencontrer, quel est ton nom?"
1231,"
3. "
1232,"السلام عليكم, My name is John and it's nice to meet you!"
1233,
1234,"

1. "
1235,I'm so excited to be going back home inshallah! J'ai hâte de retourner à la maison Inchallah!
1236," 
2. "
1237,"Shukran for the amazing meal, it was delicious! Merci pour ce repas délicieux!"
1238," 
3. "
1239,"Let's go out and explore this new city, yalla! Allons explorer cette nouvelle ville Yalla!"
1240,
1241,"

1. "
1242,مرحبا ، كيف الحال؟
1243," said in French, "
1244,"Salam, kif halek?"
1245, in Arabic and 
1246,"Hi, how are you?"
1247," in English. 

2. “هل تعلم الناطقون العربية والفرنسية معا؟” asked in French,"
1248,Hal t'allem al-naatikoon al-'arabiya wa al-
1249,"

1. "
1250,C'est quoi ce bordel? أين الجهاز؟
1251," 
2. "
1252,"That's a great idea, inshallah! إن شاء الله!"
1253," 
3. "
1254,Let's go grab some falafel and shawarma - ça te dit?
1255,
1256,"

1. "
1257,"Wahid, لا تنسى المعالجة في الباب مرة أخرى! N'oublie pas de traiter la porte encore une fois!"
1258,"

2. "
1259,"Hey mon ami, لو كانت عادلة والديها serait juste!"
1260,"

3. "
1261,"Habibi, je sais que tu peux le faire! اب"
1262,"

1. "
1263,J'ai besoin d'une voiture سيارة pour aller à l'école.
1264,"
2. "
1265,Je ne peux pas attendre de voir ce que الذي le futur nous réserve!
1266," 
3. "
1267,"Ce livre est très intéressant, يستحق القراءة je vais le lire bientôt."
1268,
1269,"

1. "
1270,I went to Morocco this summer and had the best time ever! J'ai adoré manger le tajine et apprendre à dire سلام عليكم en arabe!
1271," 

2. "
1272,"My friends are so cool, they can switch between العربية, français and English without any problem."
1273," 

3. "
1274,I'm so excited for my trip to Paris next month - je vais pouvoir parler français et م
1275,"

1. "
1276,"حبيت كل الناس يستمعوا لأغنية من باريس والفرنسة 'Je t'aime' على الراديو!”
2. “Ce soir je vais aller à la fête avec mes amis et on va danser sur de la musique arabe et française !” 
"
1277,"

1. "
1278,أنا كلب جميل - Je suis un chien mignon - I'm a cute dog.
1279,"
2. "
1280,هذا الفرنسية مع العربية استخدام يوميا! - Utiliser le français et l'arabe chaque jour !- Using French and Arabic every day!
1281,"
3. "
1282,القهوة والدولار
1283,"

1. "
1284,إنه الوقت ليس بالملل - C'est pas le moment de traîner - It's not the time to be idle.
1285,"

2. "
1286,بعد كان الأمر مبهج وسريع - L'affaire s'est bien déroulée et rapide - The affair went well and fast.
1287,"

3. "
1288,شفاء سريع لما
1289,"

1. "
1290,"يا حبيبتي، لا مشكلة! J'ai un cadeau pour toi - Oh My Love, No Problem!"
1291,"

2. "
1292,هنالك المزيد من المراجعة للقواعد الإنجليزية فوق والعربية Il y a plus de révision des règles anglaises
1293,"

1. "
1294,"Lah ykoun al 7amra w lah yjibou 3alik salama, mais tu dois faire attention à pas trop parler en anglais!"
1295," 
2. "
1296,"Viens ici mon cheri, je vais te montrer comment on fait du code-switching entre le français et l'arabe."
1297," 
3. "
1298,Je suis tellement contente de voir que j'ai réussi à maîtriser le code-switching ent
1299,"

1. "
1300,"Wa7dak 3al ra2s al-fransa, ana mabsoota fiha!"
1301," 
2. "
1302,C'est tellement cool de parler les trois langues en meme temps!
1303," 
3. "
1304,Let's go to the café and have some chai bi laban - شاي باللبن !
1305,"

1. "
1306,"أنا سعيدة لهذا اليوم! C'est une belle journée, n'est-ce pas? I'm so happy for today!"
1307,"

2. "
1308,J'adore la cuisine marocaine - كنت أحب طعم المطبخ المغربي! The flavors are so amazing and I just love it.
1309,"

3. "
1310,Je suis très reconnaiss
1311,"

1. "
1312,"Ahlan wa sahlan bikum! Bonjour, mes amis et merci d'être venus!"
1313," 
2. "
1314,"Inshallah, nous pourrons apprendre beaucoup aujourd'hui إن شاء الله، يمكننا التعلم الكثير من اليوم"
1315," 
3. "
1316,Je veux dire أريد أن أق
1317,"

1. "
1318,سأكون هنا مرة أخرى الشهر المقبل - Je serai à nouveau ici le mois prochain
1319,"
2. "
1320,العيد ميلاد سعيد لدي و لباقي الناس - Happy Birthday to me and everyone else!
1321,"
3. "
1322,"تمام, بالتأكيد! "
1323,"

1. "
1324,"Lahmouma ma3a salat, yallah ba3d khodna 3liha pizza!"
1325," (Let's get some food before we order a pizza!) 

2. "
1326,Khalik habibi j'ai envie d'aller au cinéma ce soir.
1327," (Come on darling, I want to go to the cinema tonight.) 

3. "
1328,Ana maftou7 fe london w ana bghit nchoufek le maghrebine cuisine.
1329, (I
1330,"

1. "
1331,"Wesh alors, أنا لست مطمئناً على هذا! I'm not so sure about this!"
1332," 

2. "
1333,I just heard that j'ai entendu dire que العالم يتواصل في وقت مبكر ! The world is continuing despite early times!
1334,"

3. "
1335,"Je sais pas trop, ربما نست"
1336,"

1. "
1337,"Je vais jouer un jeu avec mes amis, أنا سوف لعب لعبة مع أصدقائي"
1338,"

2. "
1339,"I'm going to the store for some groceries, الذهاب إلى المتجر لشراء نوعية من البقالة"
1340,"

3. "
1341,On va aller à la plage
1342,"

1. "
1343,"أنا شخص فريد من نوعه, ولكن لم أستطع التواصل مع البعض en français"
1344," 
2. "
1345,I'm a unique person but I can't communicate with some people in Arabic - ana khass ayam fard min no3o
1346,". 
3. "
1347,Je ne sais pas comment expliquer mes émotions mais je sais
1348,"

1. "
1349,"A7la 7obbi, j'adore la nourriture marocaine!"
1350,"
2. "
1351,J'ai besoin de taide pour apprendre le درس الفرنسية
1352," 
3. "
1353,Let's go for a shawarma and then watch a movie in English!
1354,
1355,"

1. "
1356,Je ne comprends pas pourquoi il a dit 'لست معاك بالنسبة لذلك'!
1357," 
2. "
1358,I can't believe he said 'ماشي في الحياة والوراء'
1359," 
3. "
1360,C'est incroyable qu'il ai dit 'I'm not with you on that one!'
1361,.
1362,"

1. "
1363,مرحبا بالعالم! كيف ça va? الآن أنا مستعد لاستكشاف الجو والتسوق في les magasins.
1364,"

2. "
1365,"Je suis vraiment excité de visiter la Mecque et de voir tous ses sites historiques, mais il faut que je me rappelle d'emporter"
1366,"

1. "
1367,"Salam, je veux aller au magasin pour acheter du pain et du lait."
1368," 
2. "
1369,مرحبا، أنا بحاجة الى كيس من الورد واللوز!
1370," 
3. "
1371,"Hey guys, let's go grab some falafel and shawarma for lunch!"
1372,
1373,"

1. "
1374,"Sawtou fi l'eau, j'aime bien boire un thé marocain!"
1375," 
2. "
1376,Let's go to the souk and buy some Arabic spices!
1377," 
3. "
1378,Je veux aller à la plage pour parler français et anglais avec mes amis.
1379,
1380,"

1. "
1381,"La vie est belle, ya3ni inshallah!"
1382," 
2. "
1383,C'est la meilleure chose que je n'ai jamais entendue - أن الحياة رائعة
1384," 
3. "
1385,"No matter what life throws at you, keep going and never give up - كل ما يرسله الحياة لك، تبقى في السبيل"
1386,"

1. "
1387,"Ahlan wa sahlan, salut tout le monde! I'm so excited to be here and learn about the different cultures of Arabic and French."
1388,"

2. "
1389,Je suis tellement contente de parler les langues arabe et français ensemble - c'est si amusant!
1390," 

3. "
1391,This is a great opportunity to practice my bilingualism - إنه فرصة كبيرة لتدريب اللغت
1392,"

1. "
1393,"Mama, je veux aller à la fête avec mes amis."
1394, -
1395,"Non, أنا لست متأكدا من ذلك. Il est trop tard!"
1396,"

2. "
1397,هل يمكنني الحصول على un peu plus de temps pour finir mon travail?
1398, -
1399,Bien sûr! Prenez votre temps et assurez
1400,"

1. "
1401,"Ya7faz bokra, ma3lesh 3arabi o français? J'ai envie de parler en code-switching!"
1402,"

2. "
1403,"Mon ami, tu veux apprendre à parler arabe et français? C'est facile avec le code-switching!"
1404," 

3. "
1405,"Inchallah, on va réussir! On peut pratiquer le code-switching entre l'arabe et l'angla"
1406,"

1. "
1407,"Je veux apprendre l'arabe, c'est une langue si riche وأريد أن أتعلم العربية، هي لغة متنوعة جداً!"
1408,"

2. "
1409,I love speaking all three languages! التحدث في اللغات الثلاثة هو ما أحبه!
1410,"

"
1411,"

1. "
1412,Je suis allé à la mosquée et j'ai entendu le muezzin appeler aux prières الصلاة بالعربية - Prayer in Arabic!
1413," 

2. "
1414,"J'adore manger du couscous, c'est si bon! كوسوكو، من المتعة حقا - Couscous, it's really enjoyable!"
1415," 

3. "
1416,Ce soir je
1417,"

1. "
1418,"Ya3ni, je sais que je veux apprendre le français على الانترنت, mais c'est trop difficile!"
1419,"

2. "
1420,Je suis tellement excité de visiter Paris في الصيف! J'espère pouvoir pratiquer mon français là-bas.
1421,"

3. "
1422,هل ممكن أن تساعدو
1423,"

1. "
1424,"Ya3ni ana téléphone mama, elle est trop drôle w sahha!"
1425," (Yeah, I called my mom and she was so funny!)

2. "
1426,Wa7ed 3amal ktir brit lmoussiba en français et arabe
1427," (We did a lot of work on the project in French and Arabic) 

3. "
1428,Je suis allée au magasin pour acheter des fruits et légumes mais je ne trouve r
1429,"

1. "
1430,"Akhouya habibi, tu peux pas savoir à quel point je t'aime!"
1431," 
2. "
1432,I love you so much ya 7abibi!
1433," 
3. "
1434,Je ne veux jamais te perdre أحبك كثيرا ولا أريد منك الخسارة.
1435,
1436,"

1. "
1437,"Salam! J'ai besoin de votre aide pour comprendre cette phrase en anglais: 'I need help to understand this sentence.' 
2. "
1438,"Mabrouk! Je ne sais pas comment dire ça en français, mais je crois que c'est 'Congratulations!' en anglais. 
3. "
1439,Enti bghiti? Comprenez-vous ce que je viens de dire? Cela signifie 'Do you understand?' en angla
1440,"

1. "
1441,Ana 3andek كيف حالك؟ ما حدثت؟
1442," 
I asked her how she was doing, what's up?

2. "
1443,Je suis allé au magasin et j'ai acheté des fruits شوية ومع السلامة
1444," 
I went to the store and bought some fruits safely.

3. "
1445,C’est incroyable! Je ne peux pas croire م
1446,"

1. "
1447,"Ya3ni, je veux aller à la plage demain mais mon ami a dit non parce que c'est trop chaud"
1448," 
2. "
1449,Ibn al-balad إبن البلد said he won't come to the party because it's too crowded
1450," 
3. "
1451,"C'est bon, on peut toujours essayer de trouver une autre solution - Maybe we can try and look for another option?"
1452,
1453,"

1. "
1454,هل سأكون قادرا على مساعدتك؟ Je peux t'aider?
1455," 
2. "
1456,إنه ممتع! C'est tellement amusant!
1457," 
3. "
1458,بالتأكيد ما يعني المرة المقبلة? Qu est-ce que ça va être la prochaine fois
1459,"

1. "
1460,"J'aime bien ma famille, لأنها تعرف كيف أسعدني و I love them because they know how to make me happy."
1461,"

2. "
1462,Je veux apprendre l'arabe parce que c'est une langue très intéressante et الآن مع التقدم في التكنولوجيا it's even more important with
1463,"

1. "
1464,"Salam aleykoum, comment ça va? Je pense que je vais bien - Hi there, how are you doing? I think I'm doing okay."
1465," 

2. "
1466,Je veux apprendre l'arabe parce que c'est une belle langue - I want to learn Arabic because it's a beautiful language.
1467," 

3. "
1468,Alors j'ai dit 'مرحبا بك يا العالم!' Et t
1469,"

1. "
1470,Il ya tellement de choses à apprendre في العالم! حان الوقت لأن نبدأ مغامرة ملهمة
1471,".

2. "
1472,"Let's go explore the world, وساعدنا الله على استكشاف العالم!"
1473,"

3. "
1474,C'est le moment parfait pour commencer une a
1475,"

1. "
1476,"Nous devons aller au magasin pour acheter des fruits et légumes aujourd'hui, بالضبط!"
1477," 
2. "
1478,هل يمكن أن تتحدث العربية والانكليزية معاً? Oui bien sûr!
1479," 
3. "
1480,"Let's go to the souq and buy some spices, إلي"
1481,"

1. "
1482,Mabrook! Je suis tellement heureuse pour toi!
1483," (Congrats! I'm so happy for you!) 
2. "
1484,"La vie est trop courte, alors profitons-en!"
1485," (Life is too short, so let's make the most of it!) 
3. "
1486,Jazak Allah Khair جزاك الله خير
1487, (Thank you very much)
1488,"

1. "
1489,Je me souviens quand j'étais enfant et je parlais العربية et le français avec mes amis!
1490," 

2. "
1491,"C'est tellement cool d'être capable de passer entre les langues comme ça, أنا كذلك فهمت."
1492," 

3. "
1493,"Yeah, I agree! It's like being bilingual - but even better because you can switch between the languages whenever"
1494,"

1. "
1495,"مرحبا يا أصدقائي! إنه الوقت للتسوق - let's go shopping, mes amis!"
1496,"

2. "
1497,C'est si bon de parler avec vous tous en arabe et en français ! Hi everyone
1498,"

3. "
1499,العربية والفرنسية مثل الماك والجب
1500,"

1. "
1501,"J'adore le mélange de cultures! Au Liban, on peut entendre des gens parler à la fois arabe et français - c'est tellement cool!"
1502," 

2. "
1503,يجب علينا نقرأ الكتاب من المدرسة ، وهو في الإنجليزية والعربية.
1504,"

"
1505,"

1. "
1506,"Yalla, let's go to the mall and get some new clothes!"
1507," 
2. "
1508,Je veux manger un sandwich au thon et à l'avocat avec un peu de zaatar!
1509," 
3. "
1510,Ana baytekhabbar mawza bila hilwa min al-makan al-muwazin!
1511,
1512,"

1. "
1513,"La fête était vraiment mabrouka حزن يسعد اللي مراه! (The party was really great, sadness makes the one who sees it happy!)"
1514,"

2. "
1515,Je lui ai dit 'Safi بالله وبالإمام (I told him 'safe with God and the Imam')
1516,"

3. "
1517,"C'est une expérience incroyable, mashallah شو"
1518,"

1. "
1519,"ما يقال بين الأصدقاء! أهلا وسهلا في لعبة الكرة, c'est parti pour un match de football !"
1520,"

2. "
1521,La vie est trop courte pour ne pas profiter du bon temps. لبسوا الثياب الناعمة والتعبير عن مشاع
1522,"

1. "
1523,أنا مريضة لمعرفة الحال بعد كسب mon diplôme!
1524,"
2. "
1525,"Je vais à la mosquée pour prier, mais je veux aussi apprendre l'arabe."
1526,"
3. "
1527,I'm so excited to go to Paris this summer and explore the culture while practicing my French!
1528,
1529,"

1) "
1530,"A7san 3anitou 7abibi, t'es trop mignon!"
1531," 
2) "
1532,Enta wahdak ya3ni ma ra5atich
1533," 
3) "
1534,Yallah yawmiyya bikalimti ingliziya inshallah!
1535,
1536,"

1. "
1537,"Wa7ed 3la salat al3a5er, je t'envoie des bisous!"
1538," 
2. "
1539,"Kol sana w inta tayeb, wa antoum sa7eb?"
1540," 
3. "
1541,Yalla bina! Let's go get some shawarma before we start studying for the exam.
1542,
1543,"

1. "
1544,"Oui, j'ai appris que la nouvelle technologie التكنولوجيا الحديثة va changer le monde!"
1545," 
2. "
1546,Let's try out this new تطبيق and see what it can do!
1547," 
3. "
1548,It's amazing how far we've come with هذه التكنولوجيا المتقدمة.
1549,
1550,"

1. "
1551,Ana bghit ntla9aw 3liha f had lblad jdida ou machi franssé m3ahom!
1552," (I want to visit her in the new country or maybe French with them!) 

2. "
1553,"Wach hiya mchéwiya? Yalla, 3andna choufto 3lihoum arabi ou franssi!"
1554," (What is she doing? Come on, let's show them Arabic or French!)

3. "
1555,Nta
1556,"

1. "
1557,"Yalla, let's hit the سوبرماركت to get some groceries!"
1558," 
2. "
1559,"J'ai trop faim, je veux manger un الشاورما!"
1560," 
3. "
1561,I'm so excited for tomorrow's party - it'll be lit inshallah!
1562,
1563,"

1. "
1564,"إن كل شيء يبدو مرتفعاً, c'est le temps de prendre une pause et de profiter du moment!"
1565,"

2. "
1566,هل لديكم أسئلة؟ Je suis là pour répondre à toutes vos questions en anglais ou en français.
1567,"

3. "
1568,الاحترام والاب
1569,"

1. "
1570,"Mon ami, hana sakit al-jaw? Ana ma3ahoumch!"
1571," (Hey friend, how are you? I miss you!) 
2. "
1572,La fête était incroyable! Jazayir wahed 3ala kol el-sabt
1573," (The party was amazing! One of the best Saturdays ever!) 
3. "
1574,Let's go grab some falafel and shawarma - bhalhom sa7 ou shwaya?
1575, (Let's go grab
1576,"

1. "
1577,"سوف أحاول التعلم الفرنسي، لذا يرجى مساعدتي! Je vais essayer d'apprendre le français, alors s'il vous plaît aidez-moi!"
1578,"

2. "
1579,هَذِه تَمْعَنْ هِيَ البِداية مِن
1580,"

1. "
1581,"Lah yeb2a 3liha salamti, elle aime bien la musique française et l'anglais."
1582," 
2. "
1583,إنه يتكلم العربية والفرنسية والإنجليزية!
1584," 
3. "
1585,"Il est très doué pour l'arabe, le français et l'anglais!"
1586,
1587,"

1. "
1588,"Mal h'bibi, je t'aime beaucoup!"
1589," 
2. "
1590,Ma3lesh أحبك كثيرا
1591," 
3. "
1592,"Hey sweetheart, I love you so much!"
1593,
1594,"

1. "
1595,"أنا سعيدة لتسوق في مدينة البحرين والاطلاع على المعالم السياحية, c'est super cool!"
1596,"

2. "
1597,"هذا موقع ممتع للتناول الطعام والاستمتاع بالهدوء,"
1598,"

1. "
1599,أنا ذهبت لالماري يوم السبت لشراء احدى بدلة فاخرة و j'ai trouvé une robe très chic!
1600,"

2. "
1601,"Je suis allée à la boulangerie hier et j'ai acheté du pain, alors je me suis rappelé que ma mère nous disait toujours 'الخ"
1602,"

1. "
1603,Salut mon ami! C'est un plaisir de te voir ici aujourd'hui سلام اصدقائي، من المتعة لرؤيتك هنا اليوم
1604,"

2. "
1605,Voulez-vous prendre une tasse de café? هل ترغب في شرب كوب من القهو
1606,"

1. "
1607,أنا سعيدة لكن يبدو أنه مازال الشيء في الريف français trop difficile à comprendre.
1608,"

2. "
1609,Je voudrais apprendre l'arabe mais c'est tellement compliqué!
1610,"

3. "
1611,هو متعب ومؤلم لكن I'm still determined to understand it all
1612,"

1. "
1613,مرحبا كيف حالك؟ انت بخير؟ Salut comment ça va? Tu vas bien?
1614,"
2. "
1615,هل يمكنني مساعدتك؟ Pouvez-vous me aider s'il vous plait?
1616,"
3. "
1617,"علي الرغم من الوعود والاتهامات, "
1618,"

1. "
1619,I'm gonna go to the mall المول and pick up some new shoes، je veux les chaussures noires.
1620,"

2. "
1621,"Oh wow, c'est une si belle journée! I can't wait to get outside and enjoy it بالخارج من البيت لاستمتع بها ."
1622,"

3. "
1623,Can you believe that my friend just got a job in Dubaiدبي? Il est tellement chanceux
1624,"

1. "
1625,Amani est en train de regarder un film français avec des sous-titres arabes et elle adore ça!
1626," 
2. "
1627,"Je veux aller au café pour prendre une shai marocaine, mais je ne sais pas si c'est halal."
1628," 
3. "
1629,"Ibrahim a décidé d'apprendre l'arabe, le français et l'anglais car il pense que cela"
1630,"

1. "
1631,"I'm so excited to go to Morocco this summer, أنا متحمس للذهاب الى المغرب هذا الصيف!"
1632,"

2. "
1633,"Je ne comprends pas why they keep saying 'inshallah' every time we talk about it, لا أفهم لماذا يواصلون قول ' إن شاءال"
1634,"

1. "
1635,"Ma sœur et moi, on aime bien écouter de la musique arabe على الإنترنيت."
1636,"

2. "
1637,J'adore regarder des films français مع mes amis.
1638," 

3. "
1639,Je préfère parler en anglais والعربية quand je suis avec ma famille.
1640,
1641,"

1. "
1642,"أنا مهتم باللغة الفرنسية والإنجليزية, donc je veux apprendre les deux!"
1643," 

2. "
1644,Je viens d'apprendre un nouveau mot en arabe: حبوب - c'est si cool!
1645," 

3. "
1646,J'adore écouter la musique arabe et française en même tem
1647,"

1. "
1648,"Ya3ni, je veux aller au restaurant ce soir avec mes amis - I mean, I want to go to the restaurant tonight with my friends."
1649,"

2. "
1650,اللي انت عاوزه يكون معاك؟ - Qu'est-ce que tu veux qui vienne avec toi?
1651," 

3. "
1652,"Oui je sais, mais bon c'est la vie - Yaani, Yes I"
1653,"

1. "
1654,"J'ai besoin de ton aide pour parler arabe, mon français n'est pas très bon"
1655," 
2. "
1656,أنا أعرف اللغتين العربية والإنجليزية
1657," 
3. "
1658,"Je voudrais apprendre l'arabe avec toi, cela me serait très utile!"
1659,
1660,"

1. "
1661,"حبيت انفعل السوق يوم ده مع أصدقائي, mais je me suis rappelé que j'avais des devoirs à faire alors j'ai décidé de rester chez moi."
1662,"
2. "
1663,Je voudrais apprendre l'arabe اللغة العربية pour pouvoir parler avec mes amis
1664,"

1. "
1665,Mabrook! تهاني لك!
1666,"
2. "
